munic;pib;pib_pcap;area;dist_cap;pleb_caraj_dum;pleb_tapaj_dum;dum_car;dum_tap;bf;acomp_fami_bf;ifdm;emprego_renda;educ;saude;ifgf;rec_propria;pessoal;invest;liquidez;custo_divida;var_politica;carajsim;tapsim
Santa Maria do Para;99888.146;4305.15;457.7;115;0;0;0;0;1564;0.6988;0.543572731;0.372093566;0.7097227;0.548901928;0.418254268;0.063303488;0.705406712;0.224244883;0.497258005;0.829563237;2223467.11;0.032075618;0.035656151
Santana do Araguaia;286106.016;5198.81;11591.5;1005.5;1;1;1;0;1777;0.8788;0.531608521;0.442383859;0.521188244;0.631253459;0.34713818;0.23687995;0.669650338;0.332845863;0;0.68278546;4640653.98;0.986758475;0.986587861
Santarem;1765658.373;6381.94;22886.8;1068.5;1;1;0;1;17287;0.9048;0.595712136;0.45510402;0.684306796;0.647725592;0.514682503;0.248222888;0.446048016;1;0.16936609;0.953641796;16819708.23;0.97782061;0.986329257
Santarem Novo;21127.818;3328.79;229.5;180;0;0;0;0;429;0.8049;0.538278239;0.225303367;0.680900411;0.708630939;0.296977759;0.051810869;0.46063268;0.179308584;0.309628692;0.716670727;1061478.02;0.039726388;0.044544017
Santo Antonio do Taua;104139.126;3877.83;537.6;59;0;0;0;0;1630;0.8014;0.495387873;0.288677478;0.657168265;0.540317876;;;;;;;0.00;0.043907939;0.047499005
Sao Caetano de Odivelas;58551.589;3472.4;743.5;116;0;0;0;0;1023;0.8151;0.494107349;0.277434779;0.625227018;0.579660249;0.534531922;0.067669266;0.469163218;0.432411713;0.968525009;0.985338501;1568624.67;0.046770361;0.050530188
Sao Domingos do Araguaia;92794.304;4205.88;1392.5;571;1;1;1;0;942;0.5108;0.466407918;0.312619512;0.555779147;0.530825095;0.29387331;0.064743848;0.422281776;0.580756921;0;0.536222377;2368835.70;0.976644831;0.975437928
Sao Domingos do Capim;85305.684;3055.03;1677.3;135;0;0;0;0;1834;0.6664;0.498479827;0.293839878;0.519723629;0.681875976;0.330954477;0.040202928;0.599531544;0.066294037;0.469063492;0.66558777;2809443.64;0.026547446;0.02783176
Sao Felix do Xingu;373894.494;5563.24;84213.1;1028.5;1;1;1;0;1081;0.3337;0.512320705;0.425450742;0.495571104;0.61594027;0.381896693;0.192284903;0.543202393;0.297201759;0.230563754;0.976648112;5456722.19;0.981176263;0.980347895
Sao Francisco do Para;52004.667;4428.57;479.6;95;0;0;0;0;884;0.6805;0.559432491;0.427642917;0.632967951;0.617686607;0.461756514;0.062073802;0.508439201;0.246023464;0.968782164;0.600598223;1570500.04;0.031039136;0.033438415
