Depth;Sus;Cond;Auppm;Sperc
2167.5;0.253277413;0.317018101;0.010723865;0.002166062
2168;0.445214876;0.559308011;0.010723865;0.002166062
2168.5;0.249687428;0.021189299;0.010723865;0.002166062
2169;0.183341034;0;0.010723865;0.002166062
2169.5;0.697011269;1.053078443;0.010723865;0.002166062
2170;0.200097762;0.645913275;0.010723865;0.002166062
2170.5;0.269746373;0.317018101;0.010723865;0.002166062
2171;0.348791468;0.51851394;0.010723865;0.002166062
2171.5;0.380663396;0.591064607;0.010723865;0.002166062
2172;0.225115357;0.113943352;0.010723865;0.002166062
2172.5;0.091227166;0.469822016;0.010723865;0.002166062
2173;0.328379603;0.47348697;0.010723865;0.002166062
2173.5;0.287073565;0.156094631;0.010723865;0.002166062
2174;0.234454008;0.51851394;0.010723865;0.002166062
2174.5;0.154347881;0;0.010723865;0.002166062
2175;0.305995883;0.243038049;0.010723865;0.002166062
2175.5;0.177464352;0.284430734;0.010723865;0.002166062
2176;0.283301229;0.342422681;0.010723865;0.002166062
2176.5;0.267230413;0.021189299;0.010723865;0.002166062
2177;0.191381142;0.105510185;0.010723865;0.002166062
2177.5;0.319626484;0.458637849;0.010723865;0.002166062
2178;0.280976519;0.550228353;0.010723865;0.002166062
2178.5;0.19679774;0.568201724;0.010723865;0.002166062
2179;0.232042664;0;0.010723865;0.002166062
2179.5;0.221153322;0.423245874;0.010723865;0.002166062
2180;0.252792371;0.088136089;0.010723865;0.002166062
2180.5;0.230257279;0;0.010723865;0.002166062
2181;0.26799259;0.447158031;0.010723865;0.002166062
2181.5;0.173259131;0.311753861;0.010723865;0.002166062
2182;0.16502163;0.204119983;0.010723865;0.002166062
2182.5;0.224274014;0.113943352;0.010723865;0.002166062
2183;0.168939214;0.643452676;0.010723865;0.002166062
2183.5;0.14066514;0.010723865;0.010723865;0.002166062
2184;0.119585775;0.337459261;0.010723865;0.002166062
2184.5;0.1811287;0.243038049;0.010723865;0.002166062
2185;0.169086357;0.716003344;0.010723865;0.002166062
2185.5;0.194653072;0;0.010723865;0.002166062
2186;0.174205227;0.361727836;0.010723865;0.002166062
2186.5;0.182771187;0.105510185;0.010723865;0.002166062
2187;0.173696047;0.707570176;0.010723865;0.002166062
2187.5;0.182129214;0.643452676;0.010723865;0.002166062
2188;0.182842459;0;0.010723865;0.002166062
2188.5;0.070776463;0.707570176;0.010723865;0.002166062
2189;0.148756851;0.68797462;0.010723865;0.002166062
2189.5;0.191311258;0;0.010723865;0.002166062
2190;0.180340961;0.096910013;0.010723865;0.002166062
2190.5;0.196176185;0.010723865;0.010723865;0.002166062
2191;0.086181805;0.041392685;0.010723865;0.002166062
2191.5;0.202420198;0.088136089;0.010723865;0.002166062
2192;0.289588953;0.342422681;0.010723865;0.002166062
2192.5;0.176597641;0.742332282;0.010723865;0.002166062
2193;0.242292905;0.547159121;0.010723865;0.002166062
2193.5;0.287297746;0.707570176;0.010723865;0.002166062
2194;0.228400359;0;0.010723865;0.002166062
2194.5;0.161891835;0.146128036;0.010723865;0.002166062
2195;0.228849308;0.698970004;0.010723865;0.002166062
2195.5;0.293969921;0.284430734;0.010723865;0.002166062
2196;0.18433647;0.146128036;0.010723865;0.002166062
2196.5;0.218863597;0.096910013;0.010723865;0.002166062
2197;0.198657087;0.138302698;0.010723865;0.002166062
2197.5;0.206218518;0.46612587;0.010723865;0.002166062
2198;0.149219113;0.010723865;0.010723865;0.002166062
2198.5;0.246683191;0.153814864;0.010723865;0.002166062
2199;0.271957713;0;0.010723865;0.002166062
2199.5;0.278181785;0.146128036;0.010723865;0.002166062
2200;0.3586961;0.885078384;0.010723865;0.002166062
2200.5;0.089993374;0.255272505;0.010723865;0.002166062
2201;0.266055214;0.788875116;0.010723865;0.002166062
2201.5;0.200850498;0.574031268;0.010723865;0.002166062
2202;0.247052175;0.531478917;0.010723865;0.002166062
2202.5;0.125318578;0.153814864;0.010723865;0.002166062
2203;0.190331698;0.204119983;0.010723865;0.002166062
2203.5;0.181915012;0.138302698;0.010723865;0.002166062
2204;0.193820026;0.462397998;0.010723865;0.002166062
2204.5;0.183554534;0.146128036;0.010723865;0.002166062
2205;0.13481437;0.375663614;0.010723865;0.002166062
2205.5;0.186037642;0;0.010723865;0.002166062
2206;0.176597641;0.384711743;0.010723865;0.002166062
